date,nav
2021-03-04,5.2814
2021-03-05,5.2644
2021-03-08,5.0815
2021-03-09,4.9731
2021-03-10,5.0052
2021-03-11,5.1285
2021-03-12,5.1466
2021-03-15,5.0359
2021-03-16,5.0797
2021-03-17,5.1012
2021-03-18,5.1416
2021-03-19,5.0067
2021-03-22,5.0573
2021-03-23,5.0096
2021-03-24,4.9302
2021-03-25,4.928
2021-03-26,5.0394
2021-03-29,5.0477
2021-03-30,5.095
2021-03-31,5.0489
2021-04-01,5.1117
2021-04-02,5.1623
2021-04-06,5.1409
2021-04-07,5.104
2021-04-08,5.1129
2021-04-09,5.0365
2021-04-12,4.9493
2021-04-13,4.9411
2021-04-14,4.9818
2021-04-15,4.9501
2021-04-16,4.9675
2021-04-19,5.0881
2021-04-20,5.0847
2021-04-21,5.0998
2021-04-22,5.0939
2021-04-23,5.1414
2021-04-26,5.0839
2021-04-27,5.0969
2021-04-28,5.1254
2021-04-29,5.171
2021-04-30,5.1303
2021-05-06,5.0679
2021-05-07,5.0029
2021-05-10,4.9988
2021-05-11,5.0297
2021-05-12,5.0515
2021-05-13,5.0001
2021-05-14,5.1185
2021-05-17,5.1933
2021-05-18,5.1953
2021-05-19,5.1809
2021-05-20,5.1955
2021-05-21,5.1436
2021-05-24,5.1647
2021-05-25,5.3281
2021-05-26,5.3298
2021-05-27,5.3473
2021-05-28,5.3308
2021-05-31,5.3416
2021-06-01,5.3521
2021-06-02,5.3025
2021-06-03,5.2687
2021-06-04,5.2977
2021-06-07,5.2943
2021-06-08,5.2488
2021-06-09,5.2546
2021-06-10,5.2908
2021-06-11,5.2481
2021-06-15,5.1892
2021-06-16,5.1047
2021-06-17,5.1288
2021-06-18,5.1316
2021-06-21,5.1189
2021-06-22,5.1509
2021-06-23,5.1775
2021-06-24,5.1872
2021-06-25,5.2755
2021-06-28,5.2869
2021-06-29,5.2287
2021-06-30,5.2646
2021-07-01,5.2695
2021-07-02,5.1211
2021-07-05,5.1255
2021-07-06,5.1266
2021-07-07,5.1864
2021-07-08,5.1353
2021-07-09,5.1209
2021-07-12,5.1856
2021-07-13,5.2012
2021-07-14,5.1415
2021-07-15,5.2111
2021-07-16,5.1576
2021-07-19,5.176
2021-07-20,5.1719
2021-07-21,5.2095
2021-07-22,5.2179
2021-07-23,5.1552
2021-07-26,4.9893
2021-07-27,4.8157
2021-07-28,4.8244
2021-07-29,4.9154
2021-07-30,4.8776
2021-08-02,5.0016
2021-08-03,5.0022
2021-08-04,5.0467
2021-08-05,5.0165
2021-08-06,4.9896
2021-08-09,5.0543
2021-08-10,5.1124
2021-08-11,5.0846
2021-08-12,5.042
2021-08-13,5.0149
2021-08-16,5.0111
2021-08-17,4.9064
2021-08-18,4.9636
2021-08-19,4.9315
2021-08-20,4.8395
2021-08-23,4.9113
2021-08-24,4.9646
2021-08-25,4.9746
2021-08-26,4.8775
2021-08-27,4.9032
2021-08-30,4.8877
2021-08-31,4.8807
